experiment_id,metric,platform_a,value_a,platform_b,value_b,delta,status
cal_ensemble_topmodel_dream@TOPMODEL,KGE,macos,0.693506,macos_p3repro,0.714099,0.020593,DIFF
cal_ensemble_topmodel_ga@TOPMODEL,KGE,macos,0.793072,macos_p3repro,0.793072,0.000000,OK
cal_ensemble_topmodel_glue@TOPMODEL,KGE,macos,0.719304,macos_p3repro,0.719304,0.000001,OK
cal_ensemble_topmodel_lbfgs@TOPMODEL,KGE,macos,0.644867,macos_p3repro,0.644672,0.000195,OK
cal_ensemble_topmodel_moead@TOPMODEL,KGE,macos,0.818054,macos_p3repro,0.820007,0.001954,OK
cal_ensemble_topmodel_nelder_mead@TOPMODEL,KGE,macos,0.660456,macos_p3repro,0.656992,0.003464,OK
cal_ensemble_topmodel_nsga2@TOPMODEL,KGE,macos,0.637469,macos_p3repro,0.637469,0.000000,OK
cal_ensemble_topmodel_pso@TOPMODEL,KGE,macos,0.852003,macos_p3repro,0.851364,0.000639,OK
cal_ensemble_topmodel_sa@TOPMODEL,KGE,macos,0.818860,macos_p3repro,0.837912,0.019053,OK
cal_ensemble_topmodel_sceua@TOPMODEL,KGE,macos,0.816813,macos_p3repro,0.831393,0.014581,OK
cal_ensemble_xinanjiang_abc@XINANJIANG,KGE,macos,0.684232,macos_p3repro,0.684232,0.000001,OK
cal_ensemble_xinanjiang_adam@XINANJIANG,KGE,macos,0.897548,macos_p3repro,0.897640,0.000092,OK
cal_ensemble_xinanjiang_basin_hopping@XINANJIANG,KGE,macos,0.473811,macos_p3repro,0.473810,0.000001,OK
cal_ensemble_xinanjiang_bayesian_opt@XINANJIANG,KGE,macos,0.501529,macos_p3repro,0.434745,0.066784,DIFF
cal_ensemble_xinanjiang_cmaes@XINANJIANG,KGE,macos,0.831824,macos_p3repro,0.831824,0.000000,OK
cal_ensemble_xinanjiang_dds@XINANJIANG,KGE,macos,0.905134,macos_p3repro,0.905411,0.000277,OK
cal_ensemble_xinanjiang_de@XINANJIANG,KGE,macos,0.869835,macos_p3repro,0.869836,0.000000,OK
cal_ensemble_xinanjiang_dream@XINANJIANG,KGE,macos,0.649736,macos_p3repro,0.649736,0.000001,OK
cal_ensemble_xinanjiang_ga@XINANJIANG,KGE,macos,0.822740,macos_p3repro,0.822740,0.000000,OK
cal_ensemble_xinanjiang_glue@XINANJIANG,KGE,macos,0.551076,macos_p3repro,0.551077,0.000001,OK
cal_ensemble_xinanjiang_lbfgs@XINANJIANG,KGE,macos,0.804835,macos_p3repro,0.857319,0.052484,DIFF
cal_ensemble_xinanjiang_moead@XINANJIANG,KGE,macos,0.891204,macos_p3repro,0.897142,0.005937,OK
cal_ensemble_xinanjiang_nelder_mead@XINANJIANG,KGE,macos,0.883449,macos_p3repro,0.882679,0.000770,OK
cal_ensemble_xinanjiang_nsga2@XINANJIANG,KGE,macos,0.285873,macos_p3repro,0.285872,0.000000,OK
cal_ensemble_xinanjiang_pso@XINANJIANG,KGE,macos,0.807361,macos_p3repro,0.807362,0.000001,OK
cal_ensemble_xinanjiang_sa@XINANJIANG,KGE,macos,0.880859,macos_p3repro,0.880859,0.000000,OK
cal_ensemble_xinanjiang_sceua@XINANJIANG,KGE,macos,0.783250,macos_p3repro,0.783250,0.000000,OK
forcing_ensemble_aorc@SUMMA,RMSE,macos,-306.044308,macos_p3repro,-386.547263,80.502955,DIFF
forcing_ensemble_conus404@SUMMA,RMSE,macos,-305.397516,macos_p3repro,-305.397508,0.000008,OK
forcing_ensemble_rdrs@SUMMA,RMSE,macos,-208.590593,macos_p3repro,-202.854354,5.736239,DIFF
run_1@CRHM,KGE,macos,0.931757,macos_p3repro,0.930446,0.001312,OK
run_1@FUSE,KGE,macos,0.940298,macos_p3repro,0.939322,0.000976,OK
run_1@GR,KGE,macos,0.946389,macos_p3repro,0.942604,0.003785,OK
run_1@GSFLOW,KGE,macos,0.797764,macos_p3repro,0.863662,0.065899,DIFF
run_1@HBV,KGE,macos,0.887206,macos_p3repro,0.891596,0.004389,OK
run_1@HECHMS,KGE,macos,0.820375,macos_p3repro,0.854470,0.034095,DIFF
run_1@HYPE,KGE,macos,0.900128,macos_p3repro,0.899956,0.000172,OK
run_1@MESH,KGE,macos,0.510675,macos_p3repro,0.506607,0.004068,OK
run_1@MHM,KGE,macos,0.936229,macos_p3repro,0.945014,0.008785,OK
run_1@PRMS,KGE,macos,0.923122,macos_p3repro,0.924675,0.001553,OK
run_1@RHESSys,KGE,macos,0.367511,macos_p3repro,0.836306,0.468796,DIFF
run_1@SACSMA,KGE,macos,0.020935,macos_p3repro,0.886959,0.866024,DIFF
run_1@SUMMA,KGE,macos,0.892932,macos_p3repro,0.893597,0.000665,OK
run_1@SWAT,KGE,macos,0.805827,macos_p3repro,0.792790,0.013037,OK
run_1@TOPMODEL,KGE,macos,0.538944,macos_p3repro,0.908749,0.369806,EXPLAINED
run_1@XINANJIANG,KGE,macos,0.492508,macos_p3repro,0.931094,0.438586,EXPLAINED
cal_ensemble_hbv_abc@HBV,KGE,macos,0.888122,native_windows,0.888122,0.000000,OK
cal_ensemble_hbv_adam@HBV,KGE,macos,0.937269,native_windows,0.937269,0.000000,OK
cal_ensemble_hbv_basin_hopping@HBV,KGE,macos,0.900494,native_windows,0.900494,0.000000,OK
cal_ensemble_hbv_bayesian_opt@HBV,KGE,macos,0.891868,native_windows,0.891868,0.000000,OK
